realname,username,teacherID,password
Maud Sampson,gee560,522,4208761aeb7a766ba0ddff9686fa2322
Devon Greig,jsu554,501,4f54b94da52881f982f753c1c73e9c17
Nayan Howells,ook579,512,12d53eb4a8078112bf3c071977333810
Gideon Woodley,xei599,509,5e19f4726f7abdb66b13984ca8dc676e
Grant Peel,fyp877,599,aea80b60f8e1e9fc29439c0be21b4eeb
Aarron Salt,xyp842,575,224607746ca00cbe97a2b8e1277d33b0
Marcia Hollis,ydd199,556,75867768b931ef58a191ec1e2f74f46f
Mehak Adams,rvh728,584,58c287924ed010f592eba0146170eecd
Franky Whyte,qmp900,551,d177a478e337da0c230056f0e4e7da2e
Mohammod Robin,boq349,568,53efab2f78ea667ecbb74a02c97b7821
