realname,username,teacherID,password_pre,password
Maud Sampson,gee560,522,pfp,4208761aeb7a766ba0ddff9686fa2322
Devon Greig,jsu554,501,ary,4f54b94da52881f982f753c1c73e9c17
Nayan Howells,ook579,512,hxg,12d53eb4a8078112bf3c071977333810
Gideon Woodley,xei599,509,hhj,5e19f4726f7abdb66b13984ca8dc676e
Grant Peel,fyp877,599,vcu,aea80b60f8e1e9fc29439c0be21b4eeb
Aarron Salt,xyp842,575,gsz,224607746ca00cbe97a2b8e1277d33b0
Marcia Hollis,ydd199,556,sny,75867768b931ef58a191ec1e2f74f46f
Mehak Adams,rvh728,584,xvt,58c287924ed010f592eba0146170eecd
Franky Whyte,qmp900,551,yyn,d177a478e337da0c230056f0e4e7da2e
Mohammod Robin,boq349,568,bcb,53efab2f78ea667ecbb74a02c97b7821
